Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,Brazil,BRA,20838969177.528,133163872000,135377432269.823,136501975338.534,108035582842.967,107381858510.885,123673035440.748,111937767243.905
Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,Canada,CAN,33328366000,88538856000,89650571000,87584901000,75560138000,74409969000,80381678000,83516665000
Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,China,CHN,6462808252.285,152372139000,169917182000,187087220000,196431020000,198564700000,217195020000,242668510000
Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,France,FRA,54764800000,137399751000,141297325887.602,144399794245.043,122934067194.67,124547945131.312,130684629615.782,140169000352.314
Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,Germany,DEU,73425670000,168679466000,170528591719.529,177540563255.935,150468396136.003,155252784390.013,163914604253.648,177363633369.8
Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,Italy,ITA,35002800000,81739915270.1802,84336162647.16,83732903780.2312,71206531807.1035,69267338297.0422,72460094284.8323,77573659411.2975
Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,Japan,JPN,128871066893.04,203675220497.618,166484303614.016,149953427675.147,130301194015.655,139172041263.614,137690650229.095,140907619320.661
Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,India,IND,11087125000,55630344000,56474880000,62062616000,64038744000,69735204000,80805956000,82884032000
Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,United Kingdom,GBR,46791360000,140799153999.999,146558577000,168858505715.091,159978704956.666,144430035809.21,144697522232.614,154714257147.648
Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,United States,USA,259700760000,750515192291.829,756482314384.254,793644359047.86,822071836352.701,837054716707.092,871560611005.221,915819222084.34
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,
Last Updated: 05/28/2020,,,,,,,,,,,
